"Kód štátu";"Názov štátu";"Pohlavie";"Vek";"Vzdelanie";"Súčasná ekonomická aktivita";"abs."
SK0;Slovenská republika;muž;0;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;29036
SK0;Slovenská republika;muž;1;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30033
SK0;Slovenská republika;muž;2;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30808
SK0;Slovenská republika;muž;3;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;31100
SK0;Slovenská republika;muž;4;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30873
SK0;Slovenská republika;muž;5;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;18
SK0;Slovenská republika;muž;5;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30224
SK0;Slovenská republika;muž;6;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;8
SK0;Slovenská republika;muž;6;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;13420
SK0;Slovenská republika;muž;6;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;16113
SK0;Slovenská republika;muž;7;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;18
SK0;Slovenská republika;muž;7;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;26977
SK0;Slovenská republika;muž;7;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;2497
SK0;Slovenská republika;muž;8;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;18
SK0;Slovenská republika;muž;8;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;30063
SK0;Slovenská republika;muž;9;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;33
SK0;Slovenská republika;muž;9;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;29373
SK0;Slovenská republika;muž;10;nezistené;žiak základnej školy;1240
SK0;Slovenská republika;muž;10;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;12804
SK0;Slovenská republika;muž;10;základné vzdelanie - 2. stupeň základnej školy;nezistené;1
SK0;Slovenská republika;muž;10;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;15477
SK0;Slovenská republika;muž;11;nezistené;žiak základnej školy;1376
SK0;Slovenská republika;muž;11;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;26136
SK0;Slovenská republika;muž;11;základné vzdelanie - 2. stupeň základnej školy;nezistené;2
SK0;Slovenská republika;muž;11;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;2858
SK0;Slovenská republika;muž;12;nezistené;žiak základnej školy;1365
SK0;Slovenská republika;muž;12;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;26598
SK0;Slovenská republika;muž;12;základné vzdelanie - 2. stupeň základnej školy;nezistené;2
SK0;Slovenská republika;muž;12;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;1037
SK0;Slovenská republika;muž;13;nezistené;žiak základnej školy;1192
SK0;Slovenská republika;muž;13;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;25837
SK0;Slovenská republika;muž;13;základné vzdelanie - 2. stupeň základnej školy;nezistené;12
SK0;Slovenská republika;muž;13;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;482
SK0;Slovenská republika;muž;14;nezistené;žiak strednej školy;15
SK0;Slovenská republika;muž;14;nezistené;žiak základnej školy;1113
SK0;Slovenská republika;muž;14;základné vzdelanie (bližšie neuvedené);nezistené;1
SK0;Slovenská republika;muž;14;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;25705
SK0;Slovenská republika;muž;14;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;49
SK0;Slovenská republika;muž;14;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;362
SK0;Slovenská republika;muž;15;nezistené;žiak strednej školy;2
SK0;Slovenská republika;muž;15;nezistené;žiak základnej školy;555
SK0;Slovenská republika;muž;15;základné vzdelanie (bližšie neuvedené);nezistené;2
SK0;Slovenská republika;muž;15;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;13238
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;nezistené;639
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);3
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;12531
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;58
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;55
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezistené;22
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;37
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;pracujúci (okrem dôchodcov);3
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné;nezistené;41
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou všeobecné;nezistené;27
SK0;Slovenská republika;muž;15;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezistené;18
SK0;Slovenská republika;muž;15;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);nezistené;1
SK0;Slovenská republika;muž;15;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezistené;58
SK0;Slovenská republika;muž;15;bez školského vzdelania – osoby vo veku 15 rokov a viac;žiak základnej školy;317
SK0;Slovenská republika;muž;16;nezistené;nezistené;766
SK0;Slovenská republika;muž;16;nezistené;pracujúci (okrem dôchodcov);5
SK0;Slovenská republika;muž;16;nezistené;žiak strednej školy;2
SK0;Slovenská republika;muž;16;nezistené;osoba v domácnosti;25
SK0;Slovenská republika;muž;16;nezistené;žiak základnej školy;1
SK0;Slovenská republika;muž;16;základné vzdelanie (bližšie neuvedené);nezistené;5
SK0;Slovenská republika;muž;16;základné vzdelanie (bližšie neuvedené);nezamestnaný;22
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;nezistené;6
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;pracujúci (okrem dôchodcov);4
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;nezamestnaný;24
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;osoba v domácnosti;216
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;iná;8
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;1630
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;nezistené;80
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);43
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;nezamestnaný;137
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;21396
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;osoba v domácnosti;1182
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;iná;14
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);nezamestnaný;1
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;229
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezamestnaný;1
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);osoba v domácnosti;31
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;276
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;pracujúci (okrem dôchodcov);6
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezamestnaný;3
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;osoba v domácnosti;25
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezistené;76
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;osoba v domácnosti;22
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou (bližšie neuvedené);nezistené;8
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;173
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;osoba v domácnosti;17
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;nezistené;272
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;osoba v domácnosti;16
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;nezistené;138
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;osoba v domácnosti;21
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezistené;52
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);osoba v domácnosti;4
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);nezistené;10
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);osoba v domácnosti;1
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);nezistené;5
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);osoba v domácnosti;1
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezistené;99
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezamestnaný;5
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;osoba v domácnosti;22
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;iná;1
SK0;Slovenská republika;muž;16;bez školského vzdelania – osoby vo veku 15 rokov a viac;žiak základnej školy;90
SK0;Slovenská republika;muž;17;nezistené;nezistené;829
SK0;Slovenská republika;muž;17;nezistené;pracujúci (okrem dôchodcov);16
SK0;Slovenská republika;muž;17;nezistené;nezamestnaný;1
SK0;Slovenská republika;muž;17;nezistené;osoba v domácnosti;24
SK0;Slovenská republika;muž;17;nezistené;iná;2
SK0;Slovenská republika;muž;17;základné vzdelanie (bližšie neuvedené);nezistené;2
SK0;Slovenská republika;muž;17;základné vzdelanie (bližšie neuvedené);pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;17;základné vzdelanie (bližšie neuvedené);nezamestnaný;55
SK0;Slovenská republika;muž;17;základné vzdelanie - 1. stupeň základnej školy;nezistené;64
SK0;Slovenská republika;muž;17;základné vzdelanie - 1. stupeň základnej školy;pracujúci (okrem dôchodcov);20
SK0;Slovenská republika;muž;17;základné vzdelanie - 1. stupeň základnej školy;nezamestnaný;59
SK0;Slovenská republika;muž;17;základné vzdelanie - 1. stupeň základnej školy;osoba v domácnosti;241
SK0;Slovenská republika;muž;17;základné vzdelanie - 1. stupeň základnej školy;iná;1
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;nezistené;124
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);125
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;nezamestnaný;297
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;20242
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;osoba v domácnosti;1503
SK0;Slovenská republika;muž;17;základné vzdelanie - 2. stupeň základnej školy;iná;28
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);nezamestnaný;9
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;2
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);17
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezamestnaný;22
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);žiak strednej školy;302
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);osoba v domácnosti;85
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;1
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;pracujúci (okrem dôchodcov);11
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezamestnaný;23
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;žiak strednej školy;461
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;osoba v domácnosti;65
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezistené;1
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezamestnaný;8
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;žiak strednej školy;104
SK0;Slovenská republika;muž;17;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;osoba v domácnosti;27
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou (bližšie neuvedené);nezistené;13
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;284
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;pracujúci (okrem dôchodcov);5
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezamestnaný;3
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;osoba v domácnosti;16
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné;nezistené;456
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);9
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou odborné;osoba v domácnosti;22
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou všeobecné;nezistené;204
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou všeobecné;pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou všeobecné;študent vysokej školy;1
SK0;Slovenská republika;muž;17;úplné stredné vzdelanie s maturitou všeobecné;osoba v domácnosti;50
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezistené;59
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);študent vysokej školy;1
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);osoba v domácnosti;8
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);nezistené;10
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);osoba v domácnosti;3
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);nezistené;6
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);nezamestnaný;1
SK0;Slovenská republika;muž;17;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);osoba v domácnosti;9
SK0;Slovenská republika;muž;17;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezistené;126
SK0;Slovenská republika;muž;17;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezamestnaný;9
SK0;Slovenská republika;muž;17;bez školského vzdelania – osoby vo veku 15 rokov a viac;osoba v domácnosti;26
SK0;Slovenská republika;muž;17;bez školského vzdelania – osoby vo veku 15 rokov a viac;iná;1
SK0;Slovenská republika;muž;18;nezistené;nezistené;824
SK0;Slovenská republika;muž;18;nezistené;pracujúci (okrem dôchodcov);126
SK0;Slovenská republika;muž;18;nezistené;nezamestnaný;1
SK0;Slovenská republika;muž;18;nezistené;osoba v domácnosti;24
SK0;Slovenská republika;muž;18;nezistené;dôchodca;5
SK0;Slovenská republika;muž;18;nezistené;iná;6
SK0;Slovenská republika;muž;18;základné vzdelanie (bližšie neuvedené);nezistené;4
SK0;Slovenská republika;muž;18;základné vzdelanie (bližšie neuvedené);pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;18;základné vzdelanie (bližšie neuvedené);nezamestnaný;47
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;nezistené;16
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;pracujúci (okrem dôchodcov);75
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;osoba na rodičovskej dovolenke;1
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;nezamestnaný;101
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;osoba v domácnosti;254
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;dôchodca;16
SK0;Slovenská republika;muž;18;základné vzdelanie - 1. stupeň základnej školy;iná;7
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;nezistené;74
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);432
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;pracujúci dôchodca;5
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;osoba na rodičovskej dovolenke;4
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;nezamestnaný;470
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;16813
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;osoba v domácnosti;1311
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;dôchodca;95
SK0;Slovenská republika;muž;18;základné vzdelanie - 2. stupeň základnej školy;iná;39
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);nezamestnaný;16
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);žiak strednej školy;25
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);iná;1
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;4
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);89
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezamestnaný;54
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);žiak strednej školy;254
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);osoba v domácnosti;96
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);dôchodca;8
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);iná;2
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;6
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;pracujúci (okrem dôchodcov);315
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;osoba na rodičovskej dovolenke;1
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezamestnaný;172
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;žiak strednej školy;796
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;osoba v domácnosti;121
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;dôchodca;6
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;iná;1
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;pracujúci (okrem dôchodcov);63
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezamestnaný;35
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;žiak strednej školy;223
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;osoba v domácnosti;34
SK0;Slovenská republika;muž;18;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;dôchodca;2
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou (bližšie neuvedené);nezistené;4
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou (bližšie neuvedené);žiak strednej školy;3
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;2
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;pracujúci (okrem dôchodcov);37
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;pracujúci dôchodca;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezamestnaný;13
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;žiak strednej školy;455
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;študent vysokej školy;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;osoba v domácnosti;20
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;dôchodca;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;nezistené;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);14
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;nezamestnaný;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;žiak strednej školy;945
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;študent vysokej školy;4
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;osoba v domácnosti;46
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;dôchodca;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou odborné;iná;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;nezistené;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;pracujúci (okrem dôchodcov);14
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;nezamestnaný;1
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;žiak strednej školy;556
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;študent vysokej školy;6
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;osoba v domácnosti;106
SK0;Slovenská republika;muž;18;úplné stredné vzdelanie s maturitou všeobecné;dôchodca;1
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezamestnaný;1
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);žiak strednej školy;120
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);osoba v domácnosti;11
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);žiak strednej školy;27
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);osoba v domácnosti;6
SK0;Slovenská republika;muž;18;vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);žiak strednej školy;10
