"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;15049
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);3
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);9807
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);1159
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);1872
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);34
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);9197
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";67837
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";6636
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;536
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);nezistené;2687
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);37
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;345
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;2390
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);6
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);815
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;10983
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;1071
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);132
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;2509
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;6527
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;1586
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie (bližšie neuvedené);1
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);1827
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);423
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);745
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);33
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);395
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";14772
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";3486
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;34
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;predproduktívny vek (0-14 rokov);nezistené;550
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;14757
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;80
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;43537
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);nezistené;11648
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);151
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;2167
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;17011
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);153
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);2477
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;16350
