"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;predproduktívny vek (0-14 rokov);nezistené;585
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;15080
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;27
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;46375
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);nezistené;17471
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);215
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;2598
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;17567
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);684
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);3068
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;27613
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;4428
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);154
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;14697
SK0;SK01;Slovenská republika;Bratislavský kraj;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;32808
