"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);37
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";1922
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";595
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;2
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);nezistené;72
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;826
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;7
SK0101;Okres Bratislava I;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;2528
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);dôverné;59
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);nezistené;1132
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);9
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;77
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;703
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);5
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);98
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;302
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;90
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);10
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;190
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;1230
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;980
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);1
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);284
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);102
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);174
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);2
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);789
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";7435
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";919
SK0101;Okres Bratislava I;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;3
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);dôverné;15
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);nezistené;384
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);8
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;28
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;265
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);67
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;260
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;139
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);21
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;108
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;912
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;526
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);172
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);113
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);109
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);6
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);59
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";2176
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";472
SK0101;Okres Bratislava I;žena;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;3
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);nezistené;105
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;2301
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;5
SK0102;Okres Bratislava II;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;7435
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);dôverné;39
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);nezistené;3472
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);39
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;382
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;2781
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);130
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);465
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;3748
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;645
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);30
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;2321
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;5292
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;2782
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);1558
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);177
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);342
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);6
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);1663
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";12797
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";1137
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;92
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);dôverné;22
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);nezistené;517
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);10
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;53
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;349
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);4
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);126
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;1631
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;192
